id,recorder,date,tree,time,darter,reed_corm,wb_corm,openbill,yb_stork,great_egret,yb_egret,s_ibis,grey_heron,african_spoonbill,other,obs,timestamp,total_nests_tree
1,SN,2026-04-07T00:00:00Z,1,1899-12-31T07:52:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T07:52:00Z,4
2,SN,2026-04-07T00:00:00Z,2,1899-12-31T07:53:00Z,0,0,0,7,8,0,0,0,0,0,NA,NA,2026-04-07T07:53:00Z,15
3,SN,2026-04-07T00:00:00Z,3,1899-12-31T07:54:00Z,0,0,0,5,0,0,0,0,0,0,NA,NA,2026-04-07T07:54:00Z,5
4,SN,2026-04-07T00:00:00Z,4,1899-12-31T07:58:00Z,0,0,0,3,0,0,0,0,0,0,NA,NA,2026-04-07T07:58:00Z,3
5,SN,2026-04-07T00:00:00Z,5,1899-12-31T07:58:00Z,0,0,0,6,0,0,0,0,0,0,NA,NA,2026-04-07T07:58:00Z,6
6,SN,2026-04-07T00:00:00Z,6,1899-12-31T08:03:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T08:03:00Z,4
7,SN,2026-04-07T00:00:00Z,7,1899-12-31T08:04:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T08:04:00Z,4
8,SN,2026-04-07T00:00:00Z,8,1899-12-31T08:06:00Z,0,0,0,3,3,2,2,0,0,0,NA,NA,2026-04-07T08:06:00Z,10
9,SN,2026-04-07T00:00:00Z,9,1899-12-31T08:07:00Z,0,0,0,0,3,0,0,0,0,0,NA,NA,2026-04-07T08:07:00Z,3
10,SN,2026-04-07T00:00:00Z,10,1899-12-31T08:07:00Z,0,0,0,2,4,0,0,0,0,0,NA,NA,2026-04-07T08:07:00Z,6
11,SN,2026-04-07T00:00:00Z,11,1899-12-31T08:10:00Z,0,0,0,6,1,0,0,0,0,0,NA,NA,2026-04-07T08:10:00Z,7
12,SN,2026-04-07T00:00:00Z,12,1899-12-31T08:14:00Z,0,0,0,6,2,4,0,0,0,0,NA,1 dead great egret,2026-04-07T08:14:00Z,12
13,SN,2026-04-07T00:00:00Z,13,1899-12-31T08:17:00Z,0,0,0,7,2,0,0,0,0,0,NA,NA,2026-04-07T08:17:00Z,9
14,SN,2026-04-07T00:00:00Z,14,1899-12-31T08:20:00Z,0,0,0,0,1,0,0,0,0,0,NA,NA,2026-04-07T08:20:00Z,1
15,SN,2026-04-07T00:00:00Z,15,1899-12-31T08:22:00Z,0,0,0,0,1,3,0,0,2,0,NA,NA,2026-04-07T08:22:00Z,6
16,SN,2026-04-07T00:00:00Z,16,1899-12-31T08:22:00Z,0,0,0,0,5,0,0,0,1,0,NA,NA,2026-04-07T08:22:00Z,6
17,SN,2026-04-07T00:00:00Z,17,1899-12-31T08:23:00Z,0,0,0,0,2,0,0,0,3,0,NA,NA,2026-04-07T08:23:00Z,5
18,SN,2026-04-07T00:00:00Z,18,1899-12-31T08:29:00Z,0,0,0,0,0,3,0,0,0,0,NA,NA,2026-04-07T08:29:00Z,3
19,SN,2026-04-07T00:00:00Z,19,1899-12-31T08:30:00Z,0,0,0,0,0,0,4,0,1,0,NA,NA,2026-04-07T08:30:00Z,5
20,SN,2026-04-07T00:00:00Z,20,1899-12-31T08:32:00Z,0,0,0,0,0,0,1,1,0,0,NA,NA,2026-04-07T08:32:00Z,2
21,SN,2026-04-07T00:00:00Z,21,1899-12-31T08:35:00Z,0,0,0,5,3,0,0,0,0,0,NA,NA,2026-04-07T08:35:00Z,8
22,SN,2026-04-07T00:00:00Z,22,1899-12-31T08:37:00Z,0,0,0,4,2,0,0,0,0,0,NA,1 dead great egret,2026-04-07T08:37:00Z,6
23,SN,2026-04-07T00:00:00Z,23,1899-12-31T08:42:00Z,0,0,0,0,5,0,0,0,0,0,NA,NA,2026-04-07T08:42:00Z,5
24,SN,2026-04-07T00:00:00Z,24,1899-12-31T08:42:00Z,0,0,0,0,3,0,1,0,0,0,NA,NA,2026-04-07T08:42:00Z,4
25,SN,2026-04-07T00:00:00Z,25,1899-12-31T08:46:00Z,0,0,0,3,0,0,0,0,0,0,NA,NA,2026-04-07T08:46:00Z,3
26,SN,2026-04-07T00:00:00Z,26,1899-12-31T08:47:00Z,0,0,0,2,4,0,0,0,0,0,NA,NA,2026-04-07T08:47:00Z,6
27,SN,2026-04-07T00:00:00Z,27,1899-12-31T08:50:00Z,0,0,1,1,3,0,1,0,0,0,NA,NA,2026-04-07T08:50:00Z,6
28,SN,2026-04-07T00:00:00Z,28,1899-12-31T08:53:00Z,0,0,0,0,6,0,0,0,0,0,NA,NA,2026-04-07T08:53:00Z,6
29,SN,2026-04-07T00:00:00Z,29,1899-12-31T08:54:00Z,0,0,0,0,8,0,0,0,0,0,NA,NA,2026-04-07T08:54:00Z,8
30,SN,2026-04-07T00:00:00Z,30,1899-12-31T08:56:00Z,0,0,0,0,3,0,0,0,0,0,NA,NA,2026-04-07T08:56:00Z,3
31,SN,2026-04-07T00:00:00Z,31,1899-12-31T08:56:00Z,0,0,0,0,4,0,0,0,0,0,NA,NA,2026-04-07T08:56:00Z,4
32,SN,2026-04-07T00:00:00Z,32,1899-12-31T08:57:00Z,0,0,0,5,4,0,0,0,0,0,NA,NA,2026-04-07T08:57:00Z,9
33,SN,2026-04-07T00:00:00Z,33,1899-12-31T08:59:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T08:59:00Z,4
34,SN,2026-04-07T00:00:00Z,34,1899-12-31T08:59:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T08:59:00Z,4
35,SN,2026-04-07T00:00:00Z,35,1899-12-31T09:00:00Z,0,0,8,0,4,0,0,0,0,0,NA,NA,2026-04-07T09:00:00Z,12
36,SN,2026-04-07T00:00:00Z,36,1899-12-31T09:01:00Z,0,0,5,0,5,0,0,0,0,0,NA,NA,2026-04-07T09:01:00Z,10
37,SN,2026-04-07T00:00:00Z,37,1899-12-31T09:01:00Z,0,0,0,0,3,0,0,0,0,0,NA,NA,2026-04-07T09:01:00Z,3
38,SN,2026-04-07T00:00:00Z,38,1899-12-31T09:02:00Z,0,0,0,0,4,5,0,0,0,0,NA,NA,2026-04-07T09:02:00Z,9
39,SN,2026-04-07T00:00:00Z,39,1899-12-31T09:03:00Z,0,0,0,3,6,0,0,0,0,0,NA,NA,2026-04-07T09:03:00Z,9
40,SN,2026-04-07T00:00:00Z,40,1899-12-31T09:06:00Z,0,0,0,3,0,0,2,0,1,0,NA,NA,2026-04-07T09:06:00Z,6
41,SN,2026-04-07T00:00:00Z,41,1899-12-31T09:08:00Z,0,0,0,3,5,0,0,0,0,0,NA,NA,2026-04-07T09:08:00Z,8
42,SN,2026-04-07T00:00:00Z,42,1899-12-31T09:08:00Z,0,0,3,0,4,0,0,0,0,0,NA,NA,2026-04-07T09:08:00Z,7
43,SN,2026-04-07T00:00:00Z,43,1899-12-31T09:16:00Z,0,0,0,3,3,0,0,0,0,0,NA,NA,2026-04-07T09:16:00Z,6
44,SN,2026-04-07T00:00:00Z,44,1899-12-31T09:16:00Z,0,0,0,5,3,0,0,0,0,0,NA,NA,2026-04-07T09:16:00Z,8
45,SN,2026-04-07T00:00:00Z,45,1899-12-31T09:16:00Z,0,0,0,4,0,0,0,0,0,0,NA,NA,2026-04-07T09:16:00Z,4
46,SN,2026-04-07T00:00:00Z,46,1899-12-31T09:16:00Z,0,0,0,2,0,0,0,0,0,0,NA,NA,2026-04-07T09:16:00Z,2
47,SN,2026-04-07T00:00:00Z,47,1899-12-31T09:19:00Z,0,0,0,5,0,0,0,0,0,0,NA,NA,2026-04-07T09:19:00Z,5
48,SN,2026-04-07T00:00:00Z,48,1899-12-31T09:20:00Z,0,0,0,3,0,0,0,0,0,0,NA,NA,2026-04-07T09:20:00Z,3
49,SN,2026-04-07T00:00:00Z,49,1899-12-31T09:21:00Z,0,0,0,13,0,0,0,0,0,0,NA,NA,2026-04-07T09:21:00Z,13
