Species;Size-Minimum;Size-Maximum;Size - Year;Size Quality;Size Ref;Trend;1% Threshold
African Darter;25000;100000;2002;Best Guess;Dodman 2002;Stable;1 000
Reed Cormorant;100000;1000000;2002;Best Guess;Dodman 2002;Stable;10 000
White-breasted Cormorant;15000;15000;1964-2013;Expert Opinion;Dodman 2014;Declining;150
Great Egret;100000;500000;2001;Best Guess;Dodman 2002;Stable;2 200
Grey Heron;100000;300000;1995-2014;Best Guess;Dodman 2014;Uncertain;1 700
Black-headed Heron;100000;500000;1991-2001;Best Guess;Dodman 2014;Stable;2 200
Yellow-billed Stork;75000;150000;2006-2014;Expert Opinion;Dodman 2014;Increasing;1 100
Openbill Stork ;300000;500000;2001;Expert Opinion;Dodman 2014;Declining;3 900
Sacred Ibis;200000;450000;2001;Best Guess;Ewnetu 2020;Increasing;3 000
African Spoonbill;30000;65000;2003-2012;Best Guess;Dodman 2014;Declining;440
Yellow-billed Egret;25000;100000;2001;Best Guess;Dodman 2002;Declining;1 000
