No.,File,Date,WaterDepth (m)
1,1984-06-01_waterdepth.tif,01/06/1984,2.581268072
2,1986-05-06_waterdepth.tif,06/05/1986,3.133369684
3,1986-11-30_waterdepth.tif,30/11/1986,2.502009869
4,1986-12-16_waterdepth.tif,16/12/1986,2.606462002
5,1989-01-06_waterdepth.tif,06/01/1989,2.79173851
6,1989-03-11_waterdepth.tif,11/03/1989,9.911599159
7,1989-06-15_waterdepth.tif,15/06/1989,3.125609159
8,1989-09-19_waterdepth.tif,19/09/1989,2.582595587
9,1989-12-08_waterdepth.tif,08/12/1989,2.866983891
10,1990-03-14_waterdepth.tif,14/03/1990,6.076401711
11,1990-10-24_waterdepth.tif,24/10/1990,2.732474327
12,1991-03-01_waterdepth.tif,01/03/1991,2.512340784
13,1991-05-20_waterdepth.tif,20/05/1991,2.663542509
14,1991-07-23_waterdepth.tif,23/07/1991,2.579179764
15,1993-07-28_waterdepth.tif,28/07/1993,2.500223637
16,1993-11-01_waterdepth.tif,01/11/1993,2.498200893
17,1994-02-05_waterdepth.tif,05/02/1994,2.496646404
18,1994-05-12_waterdepth.tif,12/05/1994,2.507290363
19,1994-07-15_waterdepth.tif,15/07/1994,2.497268915
20,1994-08-16_waterdepth.tif,16/08/1994,2.493467808
21,1994-09-01_waterdepth.tif,01/09/1994,2.497232914
22,1994-11-20_waterdepth.tif,20/11/1994,2.501405001
23,1994-12-06_waterdepth.tif,06/12/1994,2.495956182
24,1995-01-23_waterdepth.tif,23/01/1995,2.492277622
25,1995-02-08_waterdepth.tif,08/02/1995,2.493864536
26,1995-06-16_waterdepth.tif,16/06/1995,2.492721319
27,1995-07-18_waterdepth.tif,18/07/1995,2.490815639
28,1995-08-19_waterdepth.tif,19/08/1995,2.487290382
29,1995-09-04_waterdepth.tif,04/09/1995,2.489165068
30,1995-10-06_waterdepth.tif,06/10/1995,2.492788792
31,1996-06-02_waterdepth.tif,02/06/1996,2.515150785
32,1996-07-20_waterdepth.tif,20/07/1996,3.404994726
33,1996-09-22_waterdepth.tif,22/09/1996,3.131706953
